Type,Grain Label,Reference,Meteorite,Technique,Size (microns),Notes,7Li/6Li,Error[7Li/6Li],11B/10B,Error[11B/10B],12C/13C,Error[12C/13C],14N/15N,Error[14N/15N],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(29Si/28Si)],26Al/27Al,Error[26Al/27Al],d(33S/32S),Error[d(33S/32S)],d(34S/32S),Error[d(34S/32S)],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],44Ti/48Ti,Error[44Ti/48Ti),d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],51V/48Ti,Error[51V/48Ti],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)],d(84Sr/86Sr),Error[d(84Sr/86Sr)],d(87Sr/86Sr),Error[d(87Sr/86Sr)],d(88Sr/86Sr),Error[d(88Sr/86Sr)],d(90Zr/94Zr),Error[d(90Zr/94Zr)],d(91Zr/94Zr),Error[d(91Zr/94Zr)],d(92Zr/94Zr),Error[d(92Zr/94Zr)],d(96Zr/94Zr),Error[d(96Zr/94Zr)],d(92Mo/96Mo),Error[d(92Mo/96Mo)],d(94Mo/96Mo),Error[d(94Mo/96Mo)],d(95Mo/96Mo),Error[d(95Mo/96Mo)],d(97Mo/96Mo),Error[d(97Mo/96Mo)],d(98Mo/96Mo),Error[d(98Mo/96Mo)],d(100Mo/96Mo),Error[d(100Mo/96Mo)],d(96Ru/100Ru),Error[d(96Ru/100Ru)],d(98Ru/100Ru),Error[d(98Ru/100Ru)],d(99Ru/100Ru),Error[d(99Ru/100Ru)],d(101Ru/100Ru),Error[d(101Ru/100Ru)],d(102Ru/100Ru),Error[d(102Ru/100Ru)],d(104Ru/100Ru),Error[d(104Ru/100Ru)],d(134Ba/136Ba),Error[d(134Ba/136Ba)],d(135Ba/136Ba),Error[d(135Ba/136Ba)],d(137Ba/136Ba),Error[d(137Ba/136Ba)],d(138Ba/136Ba),Error[d(138Ba/136Ba)],
M,M5-16,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,16.9,2.8,25.2,4.1,,,,,,,,,,,,,,,-15.1,8.2,-12.7,5.3,13.5,6.1,44.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-17,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,41.9,5.4,37.7,6.3,,,,,,,,,,,,,,,-7.7,20.3,2.0,21.2,13.3,17.3,101.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-22,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,Not in Paper,,,,,,,,,5.0,4.0,19.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-24,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,Not in Paper,,,,,,,,,20.2,5.1,41.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-4,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,-9.0,5.7,12.8,5.7,,,,,,,,,,,,,,,-15.6,10.6,-10.5,8.3,17.7,7.2,20.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-6,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,59.5,3.1,55.7,4.3,,,,,,,,,,,,,,,47.9,19.8,9.2,18.5,53.0,18.0,99.1,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-7,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,-41.0,7.1,7.9,8.8,,,,,,,,,,,,,,,-123.6,41.7,-66.6,51.1,-59.4,44.8,128.1,102.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M5-9,Alexander ApJ 1999,Murchison,CIW 6f  ,            ,,,,,,,,,,22.0,2.8,34.5,5.4,,,,,,,,,,,,,,,-48.3,10.8,-14.7,10.4,33.7,11.1,143.2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,B1,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,8.50,0.70,,,37.3,9.2,25.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,B10,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,115.00,7.90,,,13.3,14.6,12.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B11,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,56.98,2.79,,,124.6,16.2,100.4,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B12,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,44.40,1.20,,,82.0,4.9,84.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,B13,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,7.70,0.20,,,211.8,4.2,155.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B14,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,26.80,3.17,,,78.0,13.0,48.9,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B15,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,27.55,0.52,,,63.8,5.0,72.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B16,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,54.26,3.97,,,7.0,15.7,38.2,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B17,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,77.76,2.22,,,13.6,11.9,19.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B18,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,55.91,3.43,,,113.6,16.0,97.8,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B19,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,64.61,0.67,,,41.9,5.3,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B2,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,87.25,0.98,,,8.2,3.8,36.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B20,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,52.62,1.34,,,64.8,12.9,42.1,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B22,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,73.63,1.30,,,59.6,9.8,44.7,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B23,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,64.50,1.31,,,70.9,9.7,63.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,B24,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,46.20,0.80,,,-51.9,10.5,-0.4,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B25,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,54.13,0.66,,,53.2,6.6,55.9,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,B26,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,5.00,0.10,,,128.0,15.1,101.9,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B27,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,72.44,1.56,,,60.9,10.3,46.3,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B28,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,32.21,0.37,,,37.4,7.0,19.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B29,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,65.09,0.56,,,43.8,4.4,35.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B3,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,91.81,4.40,,,47.4,13.1,23.0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B30,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,63.17,1.71,,,-28.0,14.6,-7.7,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B31,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,15.24,0.34,,,-26.1,12.3,-2.5,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B32,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,49.30,1.38,,,101.5,15.7,67.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B33,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,45.13,0.65,,,66.6,7.6,61.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B34,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,45.02,0.74,,,51.5,9.2,54.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B35,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,48.82,0.95,,,97.4,10.6,99.9,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,B36,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,4.30,0.10,,,93.5,6.0,62.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B37,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,56.08,2.04,,,-2.0,18.9,19.0,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B38,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,47.80,0.62,,,-17.3,7.3,6.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,B39,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,126.70,7.00,,,-59.5,22.6,4.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B4,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,67.01,0.64,,,37.9,2.7,16.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B5,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,63.98,4.48,,,84.4,21.5,100.3,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B6,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,59.64,2.91,,,60.5,12.7,47.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,B7,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,9.90,1.10,,,5.1,11.7,24.6,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,B8,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,167.80,15.30,,,-253.3,16.9,-398.1,19.8,,,,,,,,,,356.0,-55.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,B9,Alexander GCA 1993,Bishunpur,Wash U 3f,,,,,,,65.78,1.38,,,-6.2,6.3,14.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C1,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,76.43,1.70,,,-9.2,12.9,14.2,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C10,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,57.26,0.74,,,77.9,9.3,82.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C11,Alexander GCA 1993,Chainpur,Wash U 3f,,Missing from Tb3,,,,,46.22,0.28,,,145.6,3.3,126.8,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C12,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,48.82,0.51,,,119.0,8.0,108.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C13,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,47.34,0.28,,,48.8,3.0,61.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C14,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,42.14,1.81,,,5.2,30.2,41.1,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C15,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,58.90,1.59,,,104.7,16.4,131.8,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C16,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,50.83,1.13,,,96.1,14.0,94.2,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C17,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,57.48,3.28,,,9.7,32.7,56.8,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C18,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,46.43,2.72,,,99.9,33.9,83.0,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C19,Alexander GCA 1993,Chainpur,Wash U 3f,,,,,,,65.17,2.14,,,53.8,18.6,39.3,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
